scene_id,dialogue,relation_high_probable_gold,relation_impossible_gold,high_probable_agreement,intimacy_gold,intimacy_agreement,formality_gold,formality_agreement,hierarchy_gold,hierarchy_agreement,age-a_gold,age-b_gold,age_diff_gold,gender-a_gold,gender-b_gold,gender_diff_gold
scene526,"[B]: So, the reason I called you down here is just so that we could - sort of, y'know - chat about what's going on.
[A]: (CORRECTING HER) Your husband.
[B]: [A], you're attempting to make a statement. We get that. I'm just confused as to what exactly it is.
[A]: Am I in trouble? I promise the hem of my dress isn't higher than my fingertips.
[B]: You're not in trouble, [A]. I just wanted you to know that if there was something you maybe needed to talk about, that you could trust me.
[A]: If I open up to you, do you promise this stays in confidence?
[B]: Yes.
[A]: (CONFESSIONAL) I watch 'American Idol.' Do NOT tell anyone.
[A] (CONT'D): I have a reputation to uphold.
[B]: Don't you, though?
[A]: We done? If I can think of any angsty things to report, you'll be the first to know.
[A] (CONT'D): This has been so much fun that I'm actually - at this very moment - considering meth addiction, just so I can come back and we can jaw some more.
[B]: (BITINGLY) Or you could always get pregnant?
[A]: I'm probably closer than either of us thinks...
[A] (CONT'D): Propho-tastic!","['Teacher-Student', 'Therapist-Patient', 'Mentor-Mentee', 'Friends']","['Lawyer-Client', 'Landlord-Tenant', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Acquaintances', 'Neighbors', 'Strangers', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",complete_agreement,Unintimate,disagreement,Task-oriented,partial_agreement,A<B,disagreement,['(13–19) Teenager'],['(36–59) Middle-aged adult'],A<B,['Female'],['Cannot be determined'],Cannot be determined
scene527,"[A]: You're up, hoss.
[B]: (Concerned; To [A]) It's going to be okay.
[A]: (TO [B]) Let me guess: drugs.
[A]: I didn't know Christians believed in guidance counsellors. (Beat.) Ooo! Ooo! Is your boyfriend struggling with his sexuality?
[B]: No, you insensitive rhymes-with-witch! His parents are going THROUGH A (WHISPERED) divorce!
[A]: It's okay, [B]. (Not sure what to say) Sometimes our boyfriend's parents get divorced. It's just important to know that it's not your fault.
[B]: (Through her tears) They go to our church! Imagine what people will say!
[A]: I have to go now. Are you going to be okay?
[B]: Mrs. [C] is going to fix everything. She's amazing. I know that she's going to help Micah through this time and everything's going to be okay.
[A]: Yeah. Everything's going to be okay.
[B]: Why are you being so nice to me?
[A]: Isn't that what we're supposed to do? Hey, it's your boss's rules.
[B]: I'm sorry, okay? I'm sorry for everything I said. I want to be friends. PLEASE. PLEASE be my friend.
[A]: Absolutely.
[A] (V.O.): And for a day, we were actually really good friends. I was really starting to think that things were going to turn around.","['Rivalry', 'Ex-Friends', 'Friends', 'Friends']","['Competitive relationship', 'Arch-enemies', 'Acquaintances', 'Neighbors', 'Strangers', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant']",complete_agreement,Intimate,partial_agreement,Pleasure-oriented,complete_agreement,A=B,complete_agreement,['(13–19) Teenager'],['(13–19) Teenager'],A=B,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene528,"[B]: Hello there, young lady. My name is [B].
[B] (CONT'D): How can I help you today?
[A]: I'm new to the area. Looking for a church - hopefully something with a strong fellowship, a firm foot in the soil of...
[A] (CONT'D): divinity and was wondering what your church's stance on lying and adultery was?
[B]: Well. It's not a good thing.
[A]: Oh, I agree. Wholeheartedly. But tell me: assuming there is a hell --
[B]: Ma'am, the Presbyterian Church recognizes the existence of hell.
[A]: Right. Okay. Let's say hell exists. Which is worse - lying or adultery? Or is lying about adultery like a double whammy?
[B]: I'm sorry, ma'am, I -- What did you say your name was?
[A]: You know what. I think I'm just going to go and check out Judaism.
[A] (CONT'D): The Jews and I have a lot in common. Fashion-wise. And stuff. So, thank you for your time.",['Strangers'],"['Neighbors', 'Acquaintances', 'Friends', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",complete_agreement,Unintimate,complete_agreement,Task-oriented,complete_agreement,A<B,partial_agreement,"['(13–19) Teenager', '(20–35) Young adult']","['(36–59) Middle-aged adult', '(60+) Seniorr', '(20–35) Young adult']",A<B,['Female'],[],Cannot be determined
scene531,"[B]: Mr. [A]! How's she doing?
[A]: Better, thank you. Much better.
[B]: They won't let me in. Family only.
[A]: I'm sorry --
[B]: No I get it. Will you just... will you tell her I was here?
[A]: Of course I will.
[A]: Why don't you go home, get some rest?","['Acquaintances', 'Teacher-Student', 'Friends', 'Neighbors']","['Strangers', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Intimate,partial_agreement,Neutral,partial_agreement,A>B,partial_agreement,"['(36–59) Middle-aged adult', '(20–35) Young adult']","['(13–19) Teenager', '(20–35) Young adult']",A>B,['Male'],['Cannot be determined'],Cannot be determined
scene532,"[A] (V.O.): And worse worse worst of all... support group.
[A]: Ugh. You can't make me.
[B]: Of course we can, we're your parents.
[B]: [A], you need to get out of the house. Make friends. Be a teenager.
[A]: If you want me to be a teenager, don't send me to Support Group. Buy me a fake ID so I can go to clubs and drink gimlets and take pot.
[B]: You don't take pot.
[A]: See, that's the kind of thing I would know with a fake ID.
[C]: (BEAT) Get in the car.",['Parent-Children'],"['Grandparent-Grandchildren', 'Brothers/Sisters', 'Uncle/Aunt-Niece', 'Cousins', 'Friends', 'Acquaintances', 'Neighbors', 'Strangers', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",complete_agreement,Intimate,partial_agreement,Pleasure-oriented,partial_agreement,A<B,partial_agreement,['(13–19) Teenager'],['(36–59) Middle-aged adult'],A<B,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene533,"[B]: Good morning.
[A]: Actually, it's five o'clock.
[B]: How was the park?
[A]: Never made it.
[A]: What? I like watching you sleep.
[A]: I promise I'll do crazy Mom stuff tonight while you and [C] are at dinner.
[B]: What do you mean?
[A]: You have reservations at a place called Oranjee. Mr. [D] set it up. Very fancy according to the Book. And romantic.
[B]: Mom...
[A]: I'm just saying...
[A]: (beat, excited) Let's get you dressed!",['Parent-Children'],"['Friends', 'Acquaintances', 'Neighbors', 'Strangers', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",complete_agreement,Intimate,complete_agreement,Pleasure-oriented,complete_agreement,A>B,complete_agreement,['(36–59) Middle-aged adult'],['(13–19) Teenager'],A>B,['Female'],['Cannot be determined'],Cannot be determined
scene534,"[A]: Perfect.
[B]: Then it looks like you're all set.
[A]: Have we met before?
[B]: I don't think so. Sign here, please.
[B]: Date.
[A]: You read my mind.
[B]: Oh, no. I meant that I need you to put the date by your signature. It's the 26th.
[A]: I know what you meant. (he smiles) This might seem a little sudden, but... would you like to have dinner with me?
[B]: I don't think that'd be a very good idea.
[A]: Why? Is there some kind of cable-rule against dating customers?
[B]: No, it's my rule. I don't accept dates from men I've just met. I've only known you five minutes.
[A]: Then I guess I'll have to sabotage my cable over and over again until you get to know me better.
[A]: Look, I'm just talking about dinner. Friday night. It's no big deal. If you don't like me, you never have to see me again. You know I'm not going to stop until you say yes.","['Romantic Interest', 'Strangers', 'Romantic Interest', 'Friends with Benefits']","['Dating', 'Engaged', 'Married', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Friends', 'Neighbors', 'Acquaintances', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Intimate,partial_agreement,Pleasure-oriented,partial_agreement,A=B,complete_agreement,['(20–35) Young adult'],['(20–35) Young adult'],A=B,['Male'],['Female'],Different
scene536,"[C]: [A]?
[A]: Shhh...
[A]: You know when you said this wouldn't be the same as opening a safe for the cops?
[B]: Yeah.
[A]: Did you have to be right?","['Friends', 'Acquaintances', 'Friends']","['Professional colleagues', 'Supervisor-Subordinate relationship', 'Neighbors', 'Strangers', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",complete_agreement,Intimate,partial_agreement,Cannot be determined,disagreement,Cannot be determined,partial_agreement,[],[],Cannot be determined,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene537,"[C]: You always work in the dark?
[A]: Buzz of the fluorescents throws me off. She's all yours.
[B]: Damn. [D] couldn't crack it. Neither could [E].
[A]: Now you know who to call first.
[C]: You're expensive, [A]. Those guys cut us a break on subpoena jobs. Goodwill, community service...
[A]: Well I do it for the money. I'll send you the bill.
[B]: Don't you want to see what's inside?
[A]: I never look. Bye, guys.","['Client-Contractor', 'Coworkers', 'Friends', 'Coworkers', 'Acquaintances']","['Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Neighbors', 'Strangers', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Supervisor-Subordinate relationship', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Neutral,partial_agreement,Task-oriented,partial_agreement,A=B,complete_agreement,[],[],Cannot be determined,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene538,"[A]: How long?
[B]: Four minutes, forty-three seconds.
[A]: You're the man.
[B]: So what's on the line-up?
[A]: 2:00. Home safe in Fairmount Park. Owner died and the wife never knew the combination. And [C] called. He has a prototype combination lock he wants you to test out tomorrow morning. Says he added two false contact points on the tumbler.
[B]: Tell him if I don't have it opened in six minutes flat, breakfast is on me.
[A]: And there's a [D] in your office. He said you two know each other. (an aside) And he looks pretty fine for a white boy.","['Coworkers', 'Supervisor-Subordinate', 'Coworkers', 'Friends']","['Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Neighbors', 'Strangers', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",complete_agreement,Intimate,partial_agreement,Task-oriented,complete_agreement,A=B,complete_agreement,['(20–35) Young adult'],['(20–35) Young adult'],A=B,['Cannot be determined'],['Male'],Cannot be determined
scene540,"[A]: [C] sent you?
[B]: That's right.
[A]: So was I right-on about the gold bricks or what?
[B]: That's really not what I'm here to talk about. [C] said you could get us some supplies.
[A]: What do you need?
[B]: A four inch can of Nitramon. Nitramon primer. Detonating cord. Two triple charger chemical grenades. Launcher.
[A]: Nine p.m.
[C]: Should we hang here? Check out the dancers?
[A]: Nothing's going down here. I don't shit in my own yard, do you?
[C]: No, but I take a whizz off the deck sometimes.
[A]: Five thousand dollars. And don't be late.","['Acquaintances', 'Contracter', 'Coworkers', 'Coworkers', 'Supervisor-Subordinate', 'Acquaintances']","['Strangers', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Cannot be determined,disagreement,Task-oriented,complete_agreement,A=B,partial_agreement,"['(20–35) Young adult', '(36–59) Middle-aged adult']","['(20–35) Young adult', '(36–59) Middle-aged adult']",Cannot be determined,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene541,"[B]: What now?
[A]: We have to go to the jail and tell them what happened.
[B]: What on earth did happen?
[A]: Poor [C]. She wanted to get into that program more than anything in the world.
[C]: What the hell?
[B]: (gulp) Hello, sir.
[A]: Oh my God! Please don't kill me!
[B]: Kill?
[A]: We don't know anything at all! We didn't see anything or hear anything and I'll swear to that in a court of law!
[A]: Just not in the face.
[C]: What's the big idea? You two a couple a nutbags or somethin'?
[A]: Nut bags? No. I mean, yes. Is there a right answer to that? See, my sister had this interview which turned out not to be an interview, really and I sort of messed things up because I wanted to meet him.
[B]: Really? You came into town just for me? Wow.
[A]: Not now, [B]. [C] was going to be late even though technically she wasn't going to be late since there wasn't an interview and that's when we got in your car. I promise we meant to pay. It was a true emergency.
[C]: I meant, why you runnin' when I'm trying to give you your bag back?","['Coworkers', 'Friends', 'Acquaintances', 'Siblings']","['Supervisor-Subordinate relationship', 'Professional colleagues', 'Parent-Children', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Intimate,partial_agreement,Cannot be determined,disagreement,A=B,partial_agreement,"['(20–35) Young adult', '(13–19) Teenager']","['(13–19) Teenager', '(20–35) Young adult']",Cannot be determined,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene543,"[C]: May I help you?
[A]: I'm here to see Professor [B]
[C]: You don't have an appointment.
[A]: Um, no. However...
[B]: Yes?
[A]: May I have a moment of your time?
[B]: I'm sorry, but I have a plane to catch.
[A]: I know. But this is very important.
[B]: What is this about?
[A]: Life and death, if you must know.
[B]: Ms. [A], I hope this is interesting.
[A]: Trust me.","['Teacher-Student', 'Strangers']","['Lawyer-Client', 'Mentor-Mentee', 'Doctor-Patient', 'Landlord-Tenant', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Friends', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Unintimate,disagreement,Task-oriented,complete_agreement,A<B,complete_agreement,['(20–35) Young adult'],"['(36–59) Middle-aged adult', '(60+) Seniorr', '(20–35) Young adult']",A<B,['Female'],['Cannot be determined'],Cannot be determined
scene544,"[A]: That can't be. I have to be there before two!
[B]: Well, maybe if you flap your arms real fast you can fly there, because you won't get there on a train.
[A]: (about to explode) What did you just say?
[C]: Come on. Hurry. I got us a ride.
[A]: Let go of my arm.","['Friends', 'Rivalry', 'Coworkers', 'Acquaintances', 'Siblings', 'Strangers']","['Competitive relationship', 'Arch-enemies', 'Uncle/Aunt-Niece', 'Cousins', 'Grandparent-Grandchildren', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant']",complete_agreement,Cannot be determined,disagreement,Task-oriented,disagreement,A=B,partial_agreement,[],[],Cannot be determined,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene545,"[B]: So you're headed to the Teamster's Hall on Second Street?
[A]: (chewing a lip) You know, Mister...
[A]: ... [A].
[B]: [B].
[A]: Mr. [B]? We have a slight change of itinerary. We need to go into Manhattan. 57th and 5th will be fine.
[B]: It's pre-paid. No skin off my nose.
[C]: (whispering throughout) Pre-paid? What's 57th and 5th?
[A]: (whispering throughout) Barneys.
[C]: Not Barneys.
[A]: We've got five hours. Relax.
[C]: This was supposed to be someone else's car, wasn't it?
[A]: So?
[C]: Scarpelli'? We're supposed to be Italian?
[A]: Northern Italian.
[C]: This is so... wrong.","['Strangers', 'Driver-Passenger']","['Neighbors', 'Acquaintances', 'Friends', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Unintimate,partial_agreement,Task-oriented,complete_agreement,Cannot be determined,disagreement,[],[],Cannot be determined,['Cannot be determined'],['Male'],Cannot be determined
scene546,"[B]: (swallowing) Hello? Anybody?
[A] (O.S.): Keep your pants on. What'dya want? I don't got all day.
[B]: (uh...) We need a room... with a shower. Just for an hour.
[A]: Sixty bucks.
[B]: Hi.
[A]: You want the room or not?
[C]: Sixty dollars an hour for this --
[B]: -- really nice place. How much for half an hour.
[A]: Maybe if you two were in school you could figure out that half a sixty is thirty.
[B]: We've only got twenty-five.
[A]: You think because I'm short you can just charm me into making some deal, is that it?
[B]: No, not at all.
[C]: It's all we have. Twenty-six dollars and thirty-six cents.
[A]: Are you the one that stinks so bad?
[C]: I had a little accident, okay?","['Strangers', 'Strangers']","['Neighbors', 'Friends', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Unintimate,complete_agreement,Task-oriented,complete_agreement,Cannot be determined,disagreement,['(36–59) Middle-aged adult'],['(13–19) Teenager'],A>B,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene547,"[A]: MADE CRITICAL ERROR LAST P.M.
[B]: CONFESS
[A]: DROPPED TRIPLE DEPTH CHARGE AFTER DINNER.
[B]: THAT MUCH CAFFEINE IS ILLEGAL IN UTAH.
[A]: THEN BOUGHT 'NO MONEY DOWN' REAL ESTATE COURSE AROUND 3:00 A.M.
[B]: A CAREER MAN. I LIKE THAT.","['Friends', 'Supervisor-Subordinate', 'Siblings']","['Parent-Children', 'Grandparent-Grandchildren', 'Uncle/Aunt-Niece', 'Strangers', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Intimate,partial_agreement,Cannot be determined,disagreement,A=B,partial_agreement,"['(13–19) Teenager', '(20–35) Young adult']","['(13–19) Teenager', '(20–35) Young adult']",A=B,['Male'],['Cannot be determined'],Cannot be determined
scene549,"[B]: Isn't that those two right there?
[A]: I'll be damned.
[B]: Where the hell did they go?
[A]: (into radio) 605 to Base. We spotted the dognapping suspects, corner of 1st and 49th.
[C] (V.O.): (from radio) Copy that, 605.","['Coworkers', 'Coworkers', 'Supervisor-Subordinate']","['Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Friends', 'Acquaintances', 'Neighbors', 'Strangers', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Cannot be determined,disagreement,Task-oriented,complete_agreement,A=B,partial_agreement,"['(36–59) Middle-aged adult', '(20–35) Young adult']","['(36–59) Middle-aged adult', '(20–35) Young adult']",Cannot be determined,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene550,"[B] (V.O.): Yesss?
[A]: Okay. Here's how we make the --
[B] (V.O.): -- First of all, you forgot to disguise your voice.
[A]: Damn it!
[B] (V.O.): Secondly, my husband will meet you in ten minutes on the corner of 43rd and Broadway. He'll have the money. Bring the dog.
[A]: But that's ridiculous! You'll just bring the police! No way! Consider him Kung Pau!
[B]: Fine.
[A]: Don't hang up!
[B]: The police, it appears, have other priorities, like humans or something. And I assure you, the Hotel Security... people... will not interfere. In any case, little man, we just want the dog back before showtime, do you understand?
[A]: Okay.
[B]: Ciao.
[A]: No wonder you look so happy. As far as you're concerned, you've escaped from the Wicked Witch of the West.","['coconspirators', 'Strangers', 'Coworkers', 'Competitive Relationship', 'Strangers']","['Friends', 'Neighbors', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Unintimate,disagreement,Task-oriented,partial_agreement,Cannot be determined,disagreement,[],"['(36–59) Middle-aged adult', '(20–35) Young adult']",Cannot be determined,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene551,"[A]: Knock it off.
[A]: Hey! Give me that dog!
[B]: I just want you to know that I'm allergic to you AND cynophobic!
[C]: Excuse me?
[B]: I can't stop! I have to return this dog!
[A]: I'll be right back!","['Acquaintances', 'Strangers', 'Friends', 'Strangers', 'Friends', 'Siblings', 'Acquaintances']","['Neighbors', 'Parent-Children', 'Grandparent-Grandchildren', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Unintimate,partial_agreement,Task-oriented,partial_agreement,A=B,complete_agreement,[],[],A=B,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene553,"[A]: [B]?...
[A]: [B]!?
[B]: Hey, honey.
[A]: You need to come tell [C] she can't go to a party tonight.
[B]: (into speaker phone) Well, I'm technically at the office right now, so...
[A]: Are you kidding me!? You work in our guest bedroom, not an office.
[B]: I know, I was just trying to make this DEADLINE--
[A]: Yeah, and I have to go to a job that actually makes us money, [B] . So, get out here and tell [C] she's not going anywhere!","['Married', 'Married', 'Dating']","['Brothers/Sisters', 'Parent-Children', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Engaged', 'Friends with benefits', 'Affair', 'Friends', 'Acquaintances', 'Neighbors', 'Strangers', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Intimate,partial_agreement,Pleasure-oriented,disagreement,A=B,complete_agreement,['(36–59) Middle-aged adult'],['(36–59) Middle-aged adult'],A=B,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene554,"[A]: Excuse the mess. My maid died fourteen years ago and it's been simply impossible to replace her. She did windows and spoke English.
[B]: For you.
[A]: Well, aren't they loverly.
[A]: Care for a cocktail?
[B]: No, thanks.","['Acquaintances', 'Strangers', 'Strangers', 'Acquaintances', 'Neighbors', 'Employee-Customer']","['Married', 'Friends with benefits', 'Engaged', 'Affair', 'Ex-relationship', 'Friends', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",complete_agreement,Unintimate,partial_agreement,Cannot be determined,disagreement,Cannot be determined,disagreement,[],[],Cannot be determined,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene555,"[A]: Last time I checked I was your best friend!
[B]: So?
[A]: So after the party, no thank you! I call you three times -- no call back! And for six days you don't even eat at your own god damn restaurant! What am I supposed to think? Huh?! I was ready to call the morgue!
[B]: Relax, I'm alive.
[A]: Well, you sure don't look it!",['Friends'],"['Neighbors', 'Acquaintances', 'Strangers', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",complete_agreement,Intimate,partial_agreement,Pleasure-oriented,partial_agreement,A=B,complete_agreement,['(20–35) Young adult'],['(20–35) Young adult'],Cannot be determined,['Cannot be determined'],['Cannot be determined'],Cannot be determined
